isDGA,length,digits,entropy,vowel-cons,ngrams
1,13,0,3.5465935642949384,0.3,968.0767288267289
1,25,10,3.8332696895151077,0.25,481.06722222222226
1,12,0,2.8553885422075336,0.09090909090909091,1036.3656565656568
1,26,6,3.8441065448145375,0.05263157894736842,708.3287179487179
1,12,0,3.084962500721156,0.09090909090909091,897.5434343434343
1,25,7,4.163856189774723,0.2857142857142857,469.72277777777776
1,13,0,3.546593564294939,0.18181818181818182,764.3968531468531
1,27,7,3.958229168669879,0.1111111111111111,569.2198860398861
1,25,6,4.213660689688185,0.1875,578.6471014492753
1,13,0,3.0269868333592873,0.08333333333333333,997.6221833721834
1,26,0,3.8252517372886508,0.23809523809523808,819.2654700854702
1,10,0,2.9219280948873623,0.6666666666666666,1538.862962962963
1,32,19,3.5664280318460246,0.3,391.16601702508956
1,25,12,4.053660689688185,0.4444444444444444,442.905
1,26,0,4.085055102756477,0.23809523809523808,770.2212393162395
1,25,9,4.023465189601646,0.45454545454545453,814.5085748792271
1,19,0,3.826874881864637,0.35714285714285715,801.4578030042426
1,8,0,3.0,0.6,1358.4265873015872
1,8,0,2.4056390622295662,1.6666666666666667,1486.311507936508
1,12,0,3.2516291673878226,0.3333333333333333,777.9974747474748
1,15,0,3.506890595608518,0.15384615384615385,729.9396825396825
1,12,0,2.9182958340544896,0.09090909090909091,646.3000000000001
1,28,0,4.06610893983748,0.5555555555555556,1086.2985347985348
1,15,0,3.373557262275185,0.25,880.1918192918193
1,12,0,3.418295834054489,0.2,981.7787878787877
1,13,0,3.0269868333592873,0.18181818181818182,459.1225718725719
1,14,0,3.2359263506290334,0.16666666666666666,865.0054945054944
1,10,0,3.121928094887362,0.6666666666666666,1327.1861111111111
1,15,0,3.5068905956085183,0.36363636363636365,1217.710866910867
1,25,8,4.323856189774723,0.4166666666666667,463.4486714975846
1,25,11,3.783465189601646,0.16666666666666666,474.9945652173913
1,26,7,4.315824333525707,0.11764705882352941,625.0574358974359
1,10,0,2.7219280948873625,0.42857142857142855,984.0500000000001
1,16,0,3.202819531114783,0.06666666666666667,1111.9531746031746
1,25,8,4.053660689688185,0.5454545454545454,887.615917874396
1,8,0,2.1556390622295662,0.14285714285714285,1349.0238095238094
1,24,4,3.9387218755408675,0.0,469.1075428194993
1,14,0,3.6644977792004623,0.16666666666666666,608.3687423687423
1,15,0,3.3735572622751855,0.07142857142857142,854.8753357753358
1,27,0,4.106377316818028,0.35,1054.9096866096866
1,27,9,3.8841550945958057,0.125,349.50434947768275
1,12,0,3.418295834054489,0.2,738.4631313131313
1,14,0,3.6644977792004623,0.2727272727272727,1031.1675824175825
1,21,0,3.748994803525096,0.10526315789473684,952.3990810359231
1,32,18,3.7150182662886326,0.2727272727272727,435.7938396057348
1,15,0,3.5068905956085183,0.36363636363636365,998.6444444444445
1,32,20,3.6556390622295662,0.7142857142857143,512.5511200716845
1,12,0,3.2516291673878226,0.5,993.8419191919191
1,26,5,4.103909910282362,0.4,732.9561538461538
1,32,15,3.715018266288633,0.4166666666666667,557.6519041218638
1,9,0,2.94770277922009,1.25,1551.0
1,32,23,3.753928031846024,0.8,431.5191980286738
1,12,0,3.0220552088742005,0.09090909090909091,699.5792929292929
1,32,18,3.6442475629608073,0.75,597.4759856630825
1,12,0,2.9182958340544896,0.09090909090909091,957.030303030303
1,32,20,3.7539280318460246,0.5,475.45741487455206
1,32,14,3.5306390622295662,0.8,714.8750448028674
1,20,0,3.884183719779189,0.17647058823529413,847.8289473684212
1,13,0,3.085055102756477,0.08333333333333333,629.5963480963482
1,25,0,3.9434651896016457,0.25,969.6617149758454
1,13,0,3.0269868333592873,0.18181818181818182,884.9195804195803
1,14,0,3.3248629576173574,0.2727272727272727,1028.706043956044
1,19,0,3.4713544870139286,0.46153846153846156,1060.7489966746932
1,25,4,4.0536606896881855,0.10526315789473684,591.5004347826086
1,32,21,3.151210641914682,1.2,475.10887096774195
1,15,0,3.373557262275185,0.5,1259.842612942613
1,13,0,3.238901256602631,0.18181818181818182,1135.899184149184
1,14,0,3.378783493486176,0.16666666666666666,1122.9636752136753
1,32,23,3.6442475629608078,0.8,381.6985887096774
1,27,0,3.9302703722934544,0.125,724.9133713200381
1,9,0,2.9477027792200903,0.5,1213.2757936507935
1,20,0,2.884183719779189,0.0,564.9771929824561
1,15,0,3.0565647621309537,0.36363636363636365,947.5550671550671
1,12,0,3.2516291673878226,0.3333333333333333,911.4949494949495
1,9,0,3.169925001442312,0.5,1441.83664021164
1,28,10,3.937193208607594,0.2857142857142857,339.9323361823362
1,10,0,3.121928094887362,0.0,647.6925925925926
1,13,0,3.5465935642949384,0.18181818181818182,903.5460372960374
1,25,7,3.8332696895151073,0.6363636363636364,820.1088164251206
1,26,7,4.008132025833399,0.46153846153846156,654.0292735042735
1,14,0,3.521640636343319,0.16666666666666666,719.4307081807083
1,12,0,3.084962500721156,0.5,1250.310101010101
1,12,0,3.418295834054489,0.2,761.0500000000001
1,12,0,3.084962500721156,0.09090909090909091,765.3782828282829
1,19,0,3.576617644908665,0.35714285714285715,1033.1934411191376
1,32,23,3.7150182662886326,0.125,239.9049059139785
1,13,0,3.3927474104487847,0.18181818181818182,1094.6526806526806
1,13,0,3.546593564294939,0.3,751.6377233877233
1,14,0,3.182005814760214,0.16666666666666666,805.8922466422467
1,25,5,3.913269689515107,0.17647058823529413,669.6991787439614
1,28,0,4.09306920777189,0.21739130434782608,929.4433251933251
1,24,0,3.6572682296173893,0.2631578947368421,912.4470794905577
1,32,19,3.5848683589017414,0.08333333333333333,285.53494623655916
1,23,0,3.882045108136863,0.15,833.9175607001695
1,26,0,3.76334248827185,0.08333333333333333,583.2244871794871
1,25,6,4.003856189774724,0.1875,648.491425120773
1,25,8,4.023465189601645,0.3076923076923077,734.0597101449275
1,27,7,3.856196298219381,0.42857142857142855,713.9825071225072
1,25,6,4.293660689688185,0.26666666666666666,709.0446859903382
1,12,0,3.2516291673878226,0.09090909090909091,889.8858585858585
1,26,0,3.632192121571194,0.23809523809523808,777.8146153846154
1,23,0,3.5342190211803413,0.09523809523809523,659.3647970387101
1,21,0,3.52257158913636,0.10526315789473684,741.694193817878
1,32,20,3.203626767019874,0.09090909090909091,249.04334677419354
1,27,0,3.8100810205217313,0.038461538461538464,708.5539981006649
1,13,0,3.238901256602631,0.3,816.0844988344988
1,11,0,3.0957952550009344,0.5714285714285714,917.661952861953
1,15,0,3.7735572622751845,0.25,923.9576312576313
1,10,0,2.9219280948873623,0.6666666666666666,1249.3453703703706
1,26,9,3.921029621737614,0.3076923076923077,620.364188034188
1,14,0,2.699513850319966,0.2727272727272727,696.6132478632479
1,13,0,3.238901256602631,0.4444444444444444,1072.056721056721
1,17,0,3.4548223999466066,0.3076923076923077,1007.4261437908498
1,14,0,2.9852281360342525,0.0,698.2811355311355
1,8,0,3.0,0.6,1466.1567460317463
1,25,10,3.733660689688185,0.5,481.8725603864734
1,32,19,3.819548827786958,0.4444444444444444,421.5547715053763
1,10,0,3.121928094887362,0.42857142857142855,1389.1305555555555
1,14,0,3.4677201004745006,0.5555555555555556,1222.1434676434676
1,26,13,4.2098671219040344,0.3,374.0658547008547
1,12,0,3.2516291673878226,0.2,1048.6176767676768
1,26,7,3.8731406795131327,0.5833333333333334,831.8364529914529
1,32,16,3.5542292966721747,1.2857142857142858,802.7459677419355
1,14,0,3.521640636343319,0.16666666666666666,761.5351037851038
1,8,0,3.0,0.6,1336.142857142857
1,9,0,3.169925001442312,0.5,1265.8022486772486
1,14,0,3.3787834934861767,0.5555555555555556,1112.0076312576314
1,15,0,3.373557262275185,0.15384615384615385,942.9704517704517
1,14,0,3.2359263506290326,0.16666666666666666,799.1984126984127
1,9,0,2.725480556997868,0.5,1473.0026455026457
1,8,0,2.4056390622295662,1.0,1906.827380952381
1,13,0,3.180832987205441,0.08333333333333333,486.35470085470087
1,15,0,3.1068905956085184,0.07142857142857142,666.5739926739927
1,14,0,3.521640636343319,0.0,847.2069597069598
1,32,18,3.590018266288633,0.4,524.2439964157705
1,14,0,3.2359263506290334,0.4,937.4435286935287
1,15,0,3.773557262275185,0.36363636363636365,1088.8913308913309
1,9,0,2.94770277922009,0.8,1604.138888888889
1,26,8,3.979097891134804,0.38461538461538464,597.9203846153846
1,16,0,3.577819531114783,0.23076923076923078,1096.5559523809525
1,15,0,3.640223928941851,0.15384615384615385,580.1891330891332
1,20,0,3.921928094887362,0.17647058823529413,886.5018518518518
1,26,6,4.056020968057881,0.25,677.563376068376
